spout_wait,spliters,counters,<$latency
0.0,0.0,0.0,419.16
0.0,0.0,0.058823529411764705,316.58
0.0,0.0,0.11764705882352941,286.42
0.0,0.0,0.17647058823529413,292.69
0.0,0.0,0.23529411764705882,237.04
0.0,0.0,0.29411764705882354,288.02
0.0,0.0,0.35294117647058826,275.01
0.0,0.0,0.4117647058823529,228.6
0.0,0.0,0.47058823529411764,268.84
0.0,0.0,0.5294117647058824,247.74
0.0,0.0,0.5882352941176471,229.24
0.0,0.0,0.6470588235294118,263.31
0.0,0.0,0.7058823529411765,260.77
0.0,0.0,0.7647058823529411,198.18
0.0,0.0,0.8235294117647058,244.6
0.0,0.0,0.8823529411764706,250.88
0.0,0.0,0.9411764705882353,191.92
0.0,0.0,1.0,253.55
0.0,0.2,0.0,377.76
0.0,0.2,0.058823529411764705,283.68
0.0,0.2,0.11764705882352941,261.6
0.0,0.2,0.17647058823529413,247.47
0.0,0.2,0.23529411764705882,247.88
0.0,0.2,0.29411764705882354,240.76
0.0,0.2,0.35294117647058826,214.55
0.0,0.2,0.4117647058823529,241.35
0.0,0.2,0.47058823529411764,217.16
0.0,0.2,0.5294117647058824,221.13
0.0,0.2,0.5882352941176471,213.84
0.0,0.2,0.6470588235294118,208.02
0.0,0.2,0.7058823529411765,186.2
0.0,0.2,0.7647058823529411,206.11
0.0,0.2,0.8235294117647058,206.59
0.0,0.2,0.8823529411764706,198.49
0.0,0.2,0.9411764705882353,193.46
0.0,0.2,1.0,197.37
0.0,0.4,0.0,416.37
0.0,0.4,0.058823529411764705,284.51
0.0,0.4,0.11764705882352941,246.75
0.0,0.4,0.17647058823529413,248.43
0.0,0.4,0.23529411764705882,232.94
0.0,0.4,0.29411764705882354,240.27
0.0,0.4,0.35294117647058826,254.05
0.0,0.4,0.4117647058823529,225.83
0.0,0.4,0.47058823529411764,205.13
0.0,0.4,0.5294117647058824,189.72
0.0,0.4,0.5882352941176471,196.27
0.0,0.4,0.6470588235294118,200.34
0.0,0.4,0.7058823529411765,199.7
0.0,0.4,0.7647058823529411,220.63
0.0,0.4,0.8235294117647058,177.95
0.0,0.4,0.8823529411764706,194.37
0.0,0.4,0.9411764705882353,185.14
0.0,0.4,1.0,209.34
0.0,0.6,0.0,386.33
0.0,0.6,0.058823529411764705,282.78
0.0,0.6,0.11764705882352941,241.05
0.0,0.6,0.17647058823529413,250.52
0.0,0.6,0.23529411764705882,254.59
0.0,0.6,0.29411764705882354,221.13
0.0,0.6,0.35294117647058826,228.73
0.0,0.6,0.4117647058823529,212.25
0.0,0.6,0.47058823529411764,205.96
0.0,0.6,0.5294117647058824,197.21
0.0,0.6,0.5882352941176471,204.74
0.0,0.6,0.6470588235294118,194.98
0.0,0.6,0.7058823529411765,179.83
0.0,0.6,0.7647058823529411,188.25
0.0,0.6,0.8235294117647058,192.67
0.0,0.6,0.8823529411764706,211.49
0.0,0.6,0.9411764705882353,181.35
0.0,0.6,1.0,189.21
0.0,0.8,0.0,402.22
0.0,0.8,0.058823529411764705,285.58
0.0,0.8,0.11764705882352941,247.65
0.0,0.8,0.17647058823529413,253.32
0.0,0.8,0.23529411764705882,230.14
0.0,0.8,0.29411764705882354,224.92
0.0,0.8,0.35294117647058826,201.95
0.0,0.8,0.4117647058823529,227.4
0.0,0.8,0.47058823529411764,205.78
0.0,0.8,0.5294117647058824,207.11
0.0,0.8,0.5882352941176471,200.79
0.0,0.8,0.6470588235294118,193.02
0.0,0.8,0.7058823529411765,230.66
0.0,0.8,0.7647058823529411,193.79
0.0,0.8,0.8235294117647058,217.33
0.0,0.8,0.8823529411764706,195.03
0.0,0.8,0.9411764705882353,176.12
0.0,0.8,1.0,194.12
0.0,1.0,0.0,391.66
0.0,1.0,0.058823529411764705,282.9
0.0,1.0,0.11764705882352941,239.83
0.0,1.0,0.17647058823529413,236.23
0.0,1.0,0.23529411764705882,248.53
0.0,1.0,0.29411764705882354,221.22
0.0,1.0,0.35294117647058826,211.67
0.0,1.0,0.4117647058823529,217.77
0.0,1.0,0.47058823529411764,210.41
0.0,1.0,0.5294117647058824,189.74
0.0,1.0,0.5882352941176471,219.26
0.0,1.0,0.6470588235294118,176.39
0.0,1.0,0.7058823529411765,185.49
0.0,1.0,0.7647058823529411,206.1
0.0,1.0,0.8235294117647058,189.2
