max_spout,spliters,counters,<$latency
0.0,0.0,0.0,2.25
0.0,0.0,0.11764705882352941,2.2534
0.0,0.0,0.29411764705882354,2.2747
0.0,0.0,0.47058823529411764,2.3335
0.0,0.0,0.6470588235294118,2.3254
0.0,0.0,0.8235294117647058,2.3844
0.0,0.0,1.0,2.3919
0.0,0.2,0.0,2.4379
0.0,0.2,0.11764705882352941,2.1477
0.0,0.2,0.29411764705882354,2.289
0.0,0.2,0.47058823529411764,2.2133
0.0,0.2,0.6470588235294118,2.2306
0.0,0.2,0.8235294117647058,2.2503
0.0,0.2,1.0,2.2191
0.0,0.4,0.0,1.9707
0.0,0.4,0.11764705882352941,1.9243
0.0,0.4,0.29411764705882354,1.9353
0.0,0.4,0.47058823529411764,2.0457
0.0,0.4,0.6470588235294118,2.0329
0.0,0.4,0.8235294117647058,2.0329
0.0,0.4,1.0,2.0543
0.0,1.0,0.0,1.9595
0.0,1.0,0.11764705882352941,1.9647
0.0,1.0,0.29411764705882354,1.941
0.0,1.0,0.47058823529411764,2.0405
0.0,1.0,0.6470588235294118,1.9902
0.0,1.0,0.8235294117647058,2.0329
0.0,1.0,1.0,2.043
9.000009000009e-06,0.0,0.0,12.039
9.000009000009e-06,0.0,0.11764705882352941,7.5798
9.000009000009e-06,0.0,0.29411764705882354,7.4457
9.000009000009e-06,0.0,0.47058823529411764,7.2769
9.000009000009e-06,0.0,0.6470588235294118,6.9301
9.000009000009e-06,0.0,0.8235294117647058,7.2642
9.000009000009e-06,0.0,1.0,7.1578
9.000009000009e-06,0.2,0.0,12.961
9.000009000009e-06,0.2,0.11764705882352941,5.7214
9.000009000009e-06,0.2,0.29411764705882354,4.8312
9.000009000009e-06,0.2,0.47058823529411764,4.774
9.000009000009e-06,0.2,0.6470588235294118,4.8266
9.000009000009e-06,0.2,0.8235294117647058,4.7671
9.000009000009e-06,0.2,1.0,4.9532
9.000009000009e-06,0.4,0.0,12.509
9.000009000009e-06,0.4,0.11764705882352941,6.415
9.000009000009e-06,0.4,0.29411764705882354,6.2092
9.000009000009e-06,0.4,0.47058823529411764,5.9988
9.000009000009e-06,0.4,0.6470588235294118,6.1786
9.000009000009e-06,0.4,0.8235294117647058,6.2653
9.000009000009e-06,0.4,1.0,6.7601
9.000009000009e-06,1.0,0.0,12.546
9.000009000009e-06,1.0,0.11764705882352941,5.4526
9.000009000009e-06,1.0,0.29411764705882354,4.711
9.000009000009e-06,1.0,0.47058823529411764,5.2046
9.000009000009e-06,1.0,0.6470588235294118,4.3988
9.000009000009e-06,1.0,0.8235294117647058,4.6353
9.000009000009e-06,1.0,1.0,4.6347
9.9000099000099e-05,0.0,0.0,111.5
9.9000099000099e-05,0.0,0.11764705882352941,53.857
9.9000099000099e-05,0.0,0.29411764705882354,50.779
9.9000099000099e-05,0.0,0.47058823529411764,48.175
9.9000099000099e-05,0.0,0.6470588235294118,48.032
9.9000099000099e-05,0.0,0.8235294117647058,49.335
9.9000099000099e-05,0.0,1.0,47.306
9.9000099000099e-05,0.2,0.0,109.87
9.9000099000099e-05,0.2,0.11764705882352941,49.584
9.9000099000099e-05,0.2,0.29411764705882354,44.161
9.9000099000099e-05,0.2,0.47058823529411764,36.679
9.9000099000099e-05,0.2,0.6470588235294118,34.184
9.9000099000099e-05,0.2,0.8235294117647058,33.133
9.9000099000099e-05,0.2,1.0,32.883
9.9000099000099e-05,0.4,0.0,117.19
9.9000099000099e-05,0.4,0.11764705882352941,58.44
9.9000099000099e-05,0.4,0.29411764705882354,52.732
9.9000099000099e-05,0.4,0.47058823529411764,45.546
9.9000099000099e-05,0.4,0.6470588235294118,50.043
9.9000099000099e-05,0.4,0.8235294117647058,47.847
9.9000099000099e-05,0.4,1.0,49.925
9.9000099000099e-05,1.0,0.0,102.54
9.9000099000099e-05,1.0,0.11764705882352941,47.047
9.9000099000099e-05,1.0,0.29411764705882354,38.387
9.9000099000099e-05,1.0,0.47058823529411764,37.855
9.9000099000099e-05,1.0,0.6470588235294118,33.369
9.9000099000099e-05,1.0,0.8235294117647058,30.51
9.9000099000099e-05,1.0,1.0,29.727
0.000999000999000999,0.0,0.0,1132.4
0.000999000999000999,0.0,0.11764705882352941,495.85
0.000999000999000999,0.0,0.29411764705882354,478.53
0.000999000999000999,0.0,0.47058823529411764,475.26
0.000999000999000999,0.0,0.6470588235294118,446.51
0.000999000999000999,0.0,0.8235294117647058,412.5
0.000999000999000999,0.0,1.0,446.03
0.000999000999000999,0.2,0.0,1217.3
0.000999000999000999,0.2,0.11764705882352941,440.59
0.000999000999000999,0.2,0.29411764705882354,342.65
0.000999000999000999,0.2,0.47058823529411764,314.87
0.000999000999000999,0.2,0.6470588235294118,299.2
0.000999000999000999,0.2,0.8235294117647058,294.81
0.000999000999000999,0.2,1.0,312.07
0.000999000999000999,0.4,0.0,1100.4
0.000999000999000999,0.4,0.11764705882352941,505.4
0.000999000999000999,0.4,0.29411764705882354,471.82
0.000999000999000999,0.4,0.47058823529411764,480.99
0.000999000999000999,0.4,0.6470588235294118,435.89
0.000999000999000999,0.4,0.8235294117647058,447.55
0.000999000999000999,0.4,1.0,433.98
0.000999000999000999,1.0,0.0,1175.0
0.000999000999000999,1.0,0.11764705882352941,424.46
0.000999000999000999,1.0,0.29411764705882354,277.18
0.000999000999000999,1.0,0.47058823529411764,307.33
0.000999000999000999,1.0,0.6470588235294118,254.64
0.000999000999000999,1.0,0.8235294117647058,277.65
0.000999000999000999,1.0,1.0,300.68
0.00999900999901,0.0,0.0,10420.0
0.00999900999901,0.0,0.11764705882352941,5687.4
0.00999900999901,0.0,0.29411764705882354,5414.6
0.00999900999901,0.0,0.47058823529411764,5170.7
0.00999900999901,0.0,0.6470588235294118,4985.3
0.00999900999901,0.0,0.8235294117647058,5536.3
0.00999900999901,0.0,1.0,5250.0
0.00999900999901,0.2,0.0,11828.0
0.00999900999901,0.2,0.11764705882352941,4190.6
0.00999900999901,0.2,0.29411764705882354,3441.6
0.00999900999901,0.2,0.47058823529411764,3308.0
0.00999900999901,0.2,0.6470588235294118,3375.2
0.00999900999901,0.2,0.8235294117647058,3154.6
0.00999900999901,0.2,1.0,3259.4
0.00999900999901,0.4,0.0,11114.0
0.00999900999901,0.4,0.11764705882352941,1658.2
0.00999900999901,0.4,0.29411764705882354,1751.1
0.00999900999901,0.4,0.47058823529411764,1437.6
0.00999900999901,0.4,0.6470588235294118,1526.2
0.00999900999901,0.4,0.8235294117647058,1447.1
0.00999900999901,0.4,1.0,1573.4
0.00999900999901,1.0,0.0,8104.6
0.00999900999901,1.0,0.11764705882352941,1871.2
0.00999900999901,1.0,0.29411764705882354,1057.2
0.00999900999901,1.0,0.47058823529411764,655.03
0.00999900999901,1.0,0.6470588235294118,832.75
0.00999900999901,1.0,0.8235294117647058,745.04
0.00999900999901,1.0,1.0,898.52
0.0999990999991,0.0,0.0,82037.0
0.0999990999991,0.0,0.11764705882352941,48084.0
0.0999990999991,0.0,0.29411764705882354,46923.0
0.0999990999991,0.0,0.47058823529411764,48535.0
0.0999990999991,0.0,0.6470588235294118,43826.0
0.0999990999991,0.0,0.8235294117647058,46172.0
0.0999990999991,0.0,1.0,45261.0
0.0999990999991,0.2,0.0,78965.0
0.0999990999991,0.2,0.11764705882352941,35250.0
0.0999990999991,0.2,0.29411764705882354,30120.0
0.0999990999991,0.2,0.47058823529411764,31515.0
0.0999990999991,0.2,0.6470588235294118,28760.0
0.0999990999991,0.2,0.8235294117647058,27668.0
0.0999990999991,0.2,1.0,28743.0
0.0999990999991,0.4,0.0,70985.0
0.0999990999991,0.4,0.11764705882352941,1733.9
0.0999990999991,0.4,0.29411764705882354,1548.2
0.0999990999991,0.4,0.47058823529411764,1589.0
0.0999990999991,0.4,0.6470588235294118,1540.1
0.0999990999991,0.4,0.8235294117647058,1473.6
0.0999990999991,0.4,1.0,1826.1
0.0999990999991,1.0,0.0,64210.0
0.0999990999991,1.0,0.11764705882352941,1960.1
0.0999990999991,1.0,0.29411764705882354,1066.2
0.0999990999991,1.0,0.47058823529411764,843.62
0.0999990999991,1.0,0.6470588235294118,697.91
0.0999990999991,1.0,0.8235294117647058,931.89
0.0999990999991,1.0,1.0,874.78
1.0,0.0,0.0,99722.0
1.0,0.0,0.11764705882352941,88542.0
1.0,0.0,0.29411764705882354,89234.0
1.0,0.0,0.47058823529411764,82624.0
1.0,0.0,0.6470588235294118,91290.0
1.0,0.0,0.8235294117647058,84497.0
1.0,0.0,1.0,86354.0
1.0,0.2,0.0,72876.0
1.0,0.2,0.11764705882352941,85607.0
1.0,0.2,0.29411764705882354,72319.0
1.0,0.2,0.47058823529411764,58477.0
1.0,0.2,0.6470588235294118,65922.0
1.0,0.2,0.8235294117647058,59230.0
1.0,0.2,1.0,69276.0
1.0,0.4,0.0,80453.0
1.0,0.4,0.11764705882352941,1785.0
1.0,0.4,0.29411764705882354,1623.2
1.0,0.4,0.47058823529411764,1713.5
1.0,0.4,0.6470588235294118,1464.6
1.0,0.4,0.8235294117647058,1450.2
1.0,0.4,1.0,1516.5
1.0,1.0,0.0,73243.0
1.0,1.0,0.11764705882352941,1764.9
1.0,1.0,0.29411764705882354,890.11
1.0,1.0,0.47058823529411764,638.08
1.0,1.0,0.6470588235294118,741.02
1.0,1.0,0.8235294117647058,824.51
1.0,1.0,1.0,887.67
