max_spout,spliters,counters,<$throughput,<$latency
0.0,0.0,0.0,0.004705878549212082,2.5621
0.0,0.0,0.11764705882352941,0.0031668897553783866,2.6057
0.0,0.0,0.29411764705882354,0.0020255808389428856,2.55
0.0,0.0,0.47058823529411764,0.003115159039619259,2.5688
0.0,0.0,0.6470588235294118,0.0008018260942663026,2.5474
0.0,0.0,0.8235294117647058,0.003716528610318993,2.5676
0.0,0.0,1.0,0.0,2.5503
0.0,0.2,0.0,0.005342812986996191,4.7793
0.0,0.2,0.11764705882352941,0.00613332298719019,2.381
0.0,0.2,0.29411764705882354,0.007426590881168088,2.3538
0.0,0.2,0.47058823529411764,0.006553635052733007,2.4306
0.0,0.2,0.6470588235294118,0.005236118385743023,2.3965
0.0,0.2,0.8235294117647058,0.005286232516634658,2.4462
0.0,0.2,1.0,0.004397110839524853,2.4647
0.0,0.4,0.0,0.016426118838386784,2.1598
0.0,0.4,0.11764705882352941,0.017691904789617654,3.5506
0.0,0.4,0.29411764705882354,0.01410470296869645,2.1283
0.0,0.4,0.47058823529411764,0.013299643704695205,2.1468
0.0,0.4,0.6470588235294118,0.009127238161749021,3.0358
0.0,0.4,0.8235294117647058,0.01298764282527305,2.2173
0.0,0.4,1.0,0.015921744359735406,2.1277
0.0,1.0,0.0,0.015195897754240302,2.1626
0.0,1.0,0.11764705882352941,0.01918562920716212,2.0815
0.0,1.0,0.29411764705882354,0.014272827794913585,2.1376
0.0,1.0,0.47058823529411764,0.014997057815541196,2.1503
0.0,1.0,0.6470588235294118,0.014659191578239477,2.2277
0.0,1.0,0.8235294117647058,0.011018642456691697,2.1468
0.0,1.0,1.0,0.011702457855632514,2.2277
9.000009000009e-06,0.0,0.0,0.06889723046680506,13.733
9.000009000009e-06,0.0,0.11764705882352941,0.14117312330662735,9.2121
9.000009000009e-06,0.0,0.29411764705882354,0.17630151247680198,8.1247
9.000009000009e-06,0.0,0.47058823529411764,0.1752830640102944,7.5491
9.000009000009e-06,0.0,0.6470588235294118,0.18444910020886274,7.1335
9.000009000009e-06,0.0,0.8235294117647058,0.19487607260405954,7.3717
9.000009000009e-06,0.0,1.0,0.18006815521801262,7.3965
9.000009000009e-06,0.2,0.0,0.04917651166850957,15.859
9.000009000009e-06,0.2,0.11764705882352941,0.16496925255582065,8.1471
9.000009000009e-06,0.2,0.29411764705882354,0.2343692409164096,6.481
9.000009000009e-06,0.2,0.47058823529411764,0.2374407521646071,6.2867
