max_spout,spliters,counters,<$throughput
0.0,0.0,0.0,4602.9
0.0,0.0,0.11764705882352941,4508.5
0.0,0.0,0.29411764705882354,4504.4
0.0,0.0,0.47058823529411764,4404.4
0.0,0.0,0.6470588235294118,4275.4
0.0,0.0,0.8235294117647058,4422.9
0.0,0.0,1.0,4382.4
0.0,0.2,0.0,4508.5
0.0,0.2,0.11764705882352941,4747.2
0.0,0.2,0.29411764705882354,4794.6
0.0,0.2,0.47058823529411764,4752.9
0.0,0.2,0.6470588235294118,4686.7
0.0,0.2,0.8235294117647058,4643.2
0.0,0.2,1.0,4606.4
0.0,0.4,0.0,5384.6
0.0,0.4,0.11764705882352941,5591.7
0.0,0.4,0.29411764705882354,5372.8
0.0,0.4,0.47058823529411764,5258.3
0.0,0.4,0.6470588235294118,5131.6
0.0,0.4,0.8235294117647058,5143.0
0.0,0.4,1.0,5160.4
0.0,1.0,0.0,5318.7
0.0,1.0,0.11764705882352941,5361.1
0.0,1.0,0.29411764705882354,5202.6
0.0,1.0,0.47058823529411764,5160.1
0.0,1.0,0.6470588235294118,5120.9
0.0,1.0,0.8235294117647058,4999.7
0.0,1.0,1.0,4957.8
9.000009000009e-06,0.0,0.0,9276.1
9.000009000009e-06,0.0,0.11764705882352941,14647.0
9.000009000009e-06,0.0,0.29411764705882354,15094.0
9.000009000009e-06,0.0,0.47058823529411764,15355.0
9.000009000009e-06,0.0,0.6470588235294118,15001.0
9.000009000009e-06,0.0,0.8235294117647058,15229.0
9.000009000009e-06,0.0,1.0,15212.0
9.000009000009e-06,0.2,0.0,8494.1
9.000009000009e-06,0.2,0.11764705882352941,19208.0
9.000009000009e-06,0.2,0.29411764705882354,21618.0
9.000009000009e-06,0.2,0.47058823529411764,22005.0
9.000009000009e-06,0.2,0.6470588235294118,21765.0
9.000009000009e-06,0.2,0.8235294117647058,22447.0
9.000009000009e-06,0.2,1.0,22140.0
9.000009000009e-06,0.4,0.0,8400.0
9.000009000009e-06,0.4,0.11764705882352941,16797.0
9.000009000009e-06,0.4,0.29411764705882354,17061.0
9.000009000009e-06,0.4,0.47058823529411764,17217.0
9.000009000009e-06,0.4,0.6470588235294118,17287.0
9.000009000009e-06,0.4,0.8235294117647058,16905.0
9.000009000009e-06,0.4,1.0,15905.0
9.000009000009e-06,1.0,0.0,8667.5
9.000009000009e-06,1.0,0.11764705882352941,17814.0
9.000009000009e-06,1.0,0.29411764705882354,19636.0
9.000009000009e-06,1.0,0.47058823529411764,19413.0
9.000009000009e-06,1.0,0.6470588235294118,20995.0
9.000009000009e-06,1.0,0.8235294117647058,19637.0
9.000009000009e-06,1.0,1.0,19340.0
9.9000099000099e-05,0.0,0.0,10747.0
9.9000099000099e-05,0.0,0.11764705882352941,21959.0
9.9000099000099e-05,0.0,0.29411764705882354,21745.0
9.9000099000099e-05,0.0,0.47058823529411764,23144.0
9.9000099000099e-05,0.0,0.6470588235294118,22410.0
9.9000099000099e-05,0.0,0.8235294117647058,22591.0
9.9000099000099e-05,0.0,1.0,23184.0
9.9000099000099e-05,0.2,0.0,9506.6
9.9000099000099e-05,0.2,0.11764705882352941,24998.0
9.9000099000099e-05,0.2,0.29411764705882354,28972.0
9.9000099000099e-05,0.2,0.47058823529411764,30659.0
9.9000099000099e-05,0.2,0.6470588235294118,33320.0
9.9000099000099e-05,0.2,0.8235294117647058,31867.0
9.9000099000099e-05,0.2,1.0,33784.0
