$width,$complexity,$fifo,$multiplier,<$inv_runtime
0.0,1.0,1.0,0.0,4.33936051
0.0,1.0,0.0,0.0,4.309193816
0.0,1.0,0.3333333333333333,1.0,5.066154451
0.25,0.0,1.0,0.1919191919191919,5.096536076
0.25,0.0,0.0,0.1919191919191919,5.096536076
0.25,0.0,0.3333333333333333,0.1919191919191919,5.096536076
0.25,0.0,0.6666666666666666,0.1919191919191919,5.096536076
0.25,0.0,1.0,0.04040404040404041,5.041577674
0.25,0.0,0.0,0.04040404040404041,5.041574063
0.25,0.0,0.3333333333333333,0.04040404040404041,5.041577674
0.25,0.0,0.6666666666666666,0.04040404040404041,5.041577674
0.25,0.0,1.0,0.494949494949495,5.101620629
0.25,0.0,0.0,0.494949494949495,5.101620629
0.0,1.0,0.6666666666666666,1.0,5.066154451
0.25,0.0,0.3333333333333333,0.494949494949495,5.101620629
0.25,0.0,0.6666666666666666,0.494949494949495,5.101620629
0.5,1.0,1.0,0.0,4.79503586
0.5,1.0,0.0,0.0,4.792766697
0.5,1.0,0.3333333333333333,0.0,4.79503586
0.5,1.0,0.6666666666666666,0.0,4.79503586
0.5,1.0,1.0,0.09090909090909091,5.093914226
0.5,1.0,0.0,0.09090909090909091,5.093870967
0.5,1.0,0.3333333333333333,0.09090909090909091,5.093912551
0.5,1.0,0.6666666666666666,0.09090909090909091,5.093914276
0.0,1.0,1.0,0.010101010101010102,4.679288806
0.5,1.0,1.0,1.0,5.117965171
0.5,1.0,0.0,1.0,5.117965171
0.5,1.0,0.3333333333333333,1.0,5.117965171
0.5,1.0,0.6666666666666666,1.0,5.117965171
0.5,1.0,1.0,0.010101010101010102,4.953555274
0.5,1.0,0.0,0.010101010101010102,4.952769374
0.5,1.0,0.3333333333333333,0.010101010101010102,4.953555274
0.5,1.0,0.6666666666666666,0.010101010101010102,4.953555274
0.5,1.0,1.0,0.1919191919191919,5.107607992
0.5,1.0,0.0,0.1919191919191919,5.107607992
0.0,1.0,0.0,0.010101010101010102,4.667403539
