spout,split,count,buffer-size,heap,<$latency
0.0,0.0,0.0,0.0,0.0,104.57
0.0,0.0,0.0,0.0,0.3333333333333333,103.32
0.0,0.0,0.0,0.0,1.0,101.58
0.0,0.0,0.0,0.0075235349156944,0.0,110.33
0.0,0.0,0.0,0.0075235349156944,0.3333333333333333,102.99
0.0,0.0,0.0,0.0075235349156944,1.0,101.19
0.0,0.0,0.0,0.04752811777960244,0.0,107.04
0.0,0.0,0.0,0.04752811777960244,0.3333333333333333,102.94
0.0,0.0,0.0,0.04752811777960244,1.0,103.98
0.0,0.0,0.0,0.09774866810517673,0.0,106.7
0.0,0.0,0.0,0.09774866810517673,0.3333333333333333,104.4
0.0,0.0,0.0,0.09774866810517673,1.0,102.73
0.0,0.0,0.0,1.0,0.0,103.14
0.0,0.0,0.0,1.0,0.3333333333333333,102.77
0.0,0.0,0.0,1.0,1.0,110.07
0.0,0.0,0.09090909090909091,0.0,0.0,90.738
0.0,0.0,0.09090909090909091,0.0,0.3333333333333333,92.735
0.0,0.0,0.09090909090909091,0.0,1.0,92.15
0.0,0.0,0.09090909090909091,0.0075235349156944,0.0,90.004
0.0,0.0,0.09090909090909091,0.0075235349156944,0.3333333333333333,90.522
0.0,0.0,0.09090909090909091,0.0075235349156944,1.0,93.632
0.0,0.0,0.09090909090909091,0.04752811777960244,0.0,90.148
0.0,0.0,0.09090909090909091,0.04752811777960244,0.3333333333333333,90.62
0.0,0.0,0.09090909090909091,0.04752811777960244,1.0,89.624
0.0,0.0,0.09090909090909091,0.09774866810517673,0.0,91.932
0.0,0.0,0.09090909090909091,0.09774866810517673,0.3333333333333333,92.613
0.0,0.0,0.09090909090909091,0.09774866810517673,1.0,91.767
0.0,0.0,0.09090909090909091,1.0,0.0,89.199
0.0,0.0,0.09090909090909091,1.0,0.3333333333333333,92.744
0.0,0.0,0.09090909090909091,1.0,1.0,92.693
0.0,0.0,0.18181818181818182,0.0,0.0,75.129
0.0,0.0,0.18181818181818182,0.0,0.3333333333333333,77.152
0.0,0.0,0.18181818181818182,0.0,1.0,79.078
0.0,0.0,0.18181818181818182,0.0075235349156944,0.0,77.71
0.0,0.0,0.18181818181818182,0.0075235349156944,0.3333333333333333,167.26
0.0,0.0,0.18181818181818182,0.0075235349156944,1.0,78.619
0.0,0.0,0.18181818181818182,0.04752811777960244,0.0,76.212
0.0,0.0,0.18181818181818182,0.04752811777960244,0.3333333333333333,79.292
0.0,0.0,0.18181818181818182,0.04752811777960244,1.0,81.11
0.0,0.0,0.18181818181818182,0.09774866810517673,0.0,80.093
0.0,0.0,0.18181818181818182,0.09774866810517673,0.3333333333333333,82.948
0.0,0.0,0.18181818181818182,0.09774866810517673,1.0,80.941
0.0,0.0,0.18181818181818182,1.0,0.0,80.717
0.0,0.0,0.18181818181818182,1.0,0.3333333333333333,82.332
0.0,0.0,0.18181818181818182,1.0,1.0,79.187
0.0,0.0,0.45454545454545453,0.0,0.0,71.47
0.0,0.0,0.45454545454545453,0.0,0.3333333333333333,68.567
0.0,0.0,0.45454545454545453,0.0,1.0,71.818
0.0,0.0,0.45454545454545453,0.0075235349156944,0.0,73.65
0.0,0.0,0.45454545454545453,0.0075235349156944,0.3333333333333333,67.023
0.0,0.0,0.45454545454545453,0.0075235349156944,1.0,69.475
0.0,0.0,0.45454545454545453,0.04752811777960244,0.0,66.689
0.0,0.0,0.45454545454545453,0.04752811777960244,0.3333333333333333,70.129
0.0,0.0,0.45454545454545453,0.04752811777960244,1.0,68.234
0.0,0.0,0.45454545454545453,0.09774866810517673,0.0,68.155
0.0,0.0,0.45454545454545453,0.09774866810517673,0.3333333333333333,69.791
0.0,0.0,0.45454545454545453,0.09774866810517673,1.0,69.705
0.0,0.0,0.45454545454545453,1.0,0.0,73.403
0.0,0.0,0.45454545454545453,1.0,0.3333333333333333,69.085
0.0,0.0,0.45454545454545453,1.0,1.0,65.645
0.0,0.0,0.7272727272727273,0.0,0.0,65.207
